year,CO2,Other well mixed GHGs,Trop. O3,Strat. O3,Direct Sulphate Aerosol,Aerosol-Cloud Interactions,Biomass Burning Aerosol,Black & Organic Carbon Aerosol,Solar,Volcanic aerosols in Strat.
2001,1.53,0.96,0.39,-0.06,-0.39,-0.44,0.02,0.14,0.11,-0.05
2002,1.56,0.97,0.39,-0.06,-0.39,-0.45,0.02,0.14,0.11,-0.05
2003,1.59,0.97,0.39,-0.05,-0.39,-0.45,0.03,0.15,0.04,-0.08
2004,1.62,0.97,0.39,-0.05,-0.4,-0.45,0.03,0.15,0.01,-0.08
2005,1.65,0.98,0.39,-0.05,-0.4,-0.45,0.03,0.15,-0.01,-0.08
2006,1.68,0.98,0.4,-0.05,-0.4,-0.45,0.02,0.18,-0.02,-0.08
2007,1.71,0.99,0.4,-0.05,-0.4,-0.45,0.02,0.21,-0.02,-0.13
2008,1.74,0.99,0.4,-0.05,-0.4,-0.45,0.01,0.24,-0.03,-0.1
2009,1.76,1.0,0.4,-0.05,-0.4,-0.45,0.01,0.27,-0.03,-0.1
2010,1.79,1.01,0.4,-0.05,-0.4,-0.44,0.0,0.3,0.0,-0.1
2011,1.82,1.02,0.4,-0.05,-0.4,-0.44,0.0,0.31,0.03,-0.1
2012,1.85,1.02,0.39,-0.04,-0.39,-0.44,0.01,0.26,0.05,-0.07
2013,1.88,1.03,0.39,-0.04,-0.38,-0.44,0.03,0.2,0.06,-0.04
2014,1.91,1.03,0.38,-0.03,-0.37,-0.43,0.05,0.15,0.08,0.0
2015,1.94,1.03,0.38,-0.03,-0.37,-0.43,0.05,0.15,0.03,0.0
2016,1.97,1.04,0.37,-0.03,-0.37,-0.43,0.05,0.15,0.01,0.0
